Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Short Description,Event Tags
"Pilk, Peamer, Squeamer and More",MacGregor House,C Entry,C Entry Kitchen,8/28/2023 14:00:00,8/28/2023 16:00:00,The continuation of the viral pilk! With fun recipes to try!,"Food, Social"
Brick on Wheels II,MacGregor House,,MacGregor Courtyard/Arcade,8/28/2023 14:30:00,8/28/2023 16:30:00,Race RC cars on our homemade track at our second annual Brick on Wheels event!,"Social, Games"
Hungry Hingry Hippos,MacGregor House,H Entry,MacGregor Dining Room,8/28/2023 15:00:00,8/28/2023 17:00:00,"Hungry hungry hippos - why were they always so hungry? :'(  Are you hungry... for some plastic balls?  Ever wondered what it would be like to have a pool noodle for a mouth?? Come join Hentry's life-sized Hungry Hungry Hippos game, where you can be the hungriest hippo ever!!!!","Social, Games"
"Boba, BrownEEs, and Board GamEEs",MacGregor House,E Entry,E-Entry Main Lounge,8/28/2023 15:00:00,8/28/2023 17:00:00,"Stop by E-Entry for boba, brownies, and board games! Enjoy tasty treats, relax between your orientation events, and play some fun games with us!","Food, Social, Games"
Centry Horror Movie Night,MacGregor House,C Entry,C-Entry Lounge,8/28/2023 19:00:00,8/28/2023 21:00:00,"If you want a night of spooks and chills, come watch a horror movie with us over food and refreshments! ",Social
MAKE A FISH,MacGregor House,G Entry,G Entry Lounge,8/28/2023 20:00:00,8/28/2023 21:30:00,come chill and make taiyaki ice cream with us!!,"Food, Social"
MacG Dessert Party!,MacGregor House,,MacGregor Courtyard,8/28/2023 21:00:00,8/28/2023 23:00:00,"Enjoy delicious desserts paired with Toscanini's ice cream at our courtyard dessert party! In case of inclement weather, the dessert party will be in the MacGregor Dining Room :)","Signature, Food, Party, Social"
Breakfast With Bentry,MacGregor House,B Entry,B Entry Main Lounge,8/28/2023 9:00:00,8/28/2023 11:00:00,Don’t feel like going to a dining hall? Join us for breakfast in Bentry,Foood
Saucy Boogaloo,MacGregor House,H Entry,MacGregor Coutyard,8/29/2023 12:00:00,8/29/2023 14:00:00,Feeling saucy??  Come try out our selection of hot sauces!!  Will be served with chicken nuggets!!!  Will you be able to withstand the heat?? Or will you die trying... :'( ,Food
GET HOSED!!!!,MacGregor House,H Entry,MacG Courtyard,8/29/2023 12:00:00,8/29/2023 14:00:00,Looking to escape the heat???  Come get your first taste of MIT's Firehose and run through our sprinklers with your friends!!!  We promise it'll be more fun than getting hosed with work during the semester! ,"Party, Social"
MacTour: Tour MacGregor House! ,MacGregor House,,MacGregor Courtyard,8/29/2023 14:00:00,8/29/2023 15:00:00,"Get a tour of MacGregor House, led by current residents! A new tour will start every 15-20 minutes :)",Tour
MacGrillin',MacGregor House,,MacGregor Courtyard,8/29/2023 17:30:00,8/29/2023 19:30:00,Enjoy some tasty BBQ in the MacGregor courtyard!,"Food, Social"
Centry Bakefest,MacGregor House,C Entry,C Entry Kitchen,8/29/2023 18:00:00,8/29/2023 21:00:00,"Come bake buttery delights with us! Whether it's cookies or banana bread or anything in-between, ",Food
Overcooked PanEnEs!,MacGregor House,E Entry,E Entry Main Lounge,8/29/2023 18:00:00,8/29/2023 20:00:00,Come build ur own delicious PanEnEs! YOU will learn to build the sandwich of your dreams! Stick around to play Overcooked! with us and see whether the real-world sandwich-making skills translate into the video game world (or vice versa)!,"Food, Social, Games"
nail painting!!,MacGregor House,G Entry,G Entry Lounge,8/29/2023 21:00:00,8/29/2023 22:30:00,paint your nails and gossip with the gentry gays 💅,"Social, Art"
Bentry Betting,MacGregor House,B Entry,B Entry Main Lounge,8/29/2023 21:00:00,8/29/2023 23:00:00,Play poker with Bentry residents and enjoy some late night snacks,"Food, Social, Games"
